2,5,Марафон практики Сила Берегини 1 - 11 сентября,"Прекрасные женщины-Берегини!
Я приглашаю вас с 1 по 11 сентября провести вместе практику Сила Берегини, чтобы наполнить силами 9 кругов свои искренние, душевные желания.

Мы сотворим свои волшебные образы в новолуние 1 сентября (в затмение желания имеют особую силу) и начнем делать комплекс гимнастики, чтобы зарядить, осветить их энергиями 9 кругов (каждый день будет с вниманием на одном круге). Мы прочувствуем их в теле и сознании и получим их подсказки.

Это новолуние обратит наше внимание на баланс духовного и материального, личного и общественного, поможет почувствовать то, что готово проявиться в жизни, выбрать верный путь к Себе. Этому я предлагаю посвятить свои желания. И практика в едином потоке усилит и проявит все наши душевные чаяния.

Если вы хотите участвовать, записывайтесь в теме:
vk.com/topic-127831546_34102656
до 12.00 1 сентября, потом группа будет закрытой.

Мы начнем 1 сентября в 22.00 сформулируем намерение и сделаем комплекс первый раз (комплекс упражнений с описаниями я выложу с утра, чтобы вы попробовали и могли задать вопросы).

И далее каждый день мы будем его делать (желательно с утра) и настраиваться на свое желание и энергию определенного круга, а в течение дня замечать и чувствовать как эта энергия проявляется в жизни, каким вкусом, акцентом наполняет вашу мечту. 

А вечером нужно будет поделиться впечатлениями дня :) и прочитать информацию-настройку на следующий день.

Завершим мы 11 сентября созданием оберегов с символом энергии, которая нам поможет в исполнении желания (для каждой участницы я вытащу карту с Берегиней).",./XF5wqQ-S6dY1.jpg,,,2016-08-29,13:42:34,,,,,,,,,,,,,0,1,1,0,1472456546,1472456546
3,20,1.09 / БЕЗУМНЫЕ СТУДЕНТЫ / клуб АТРИУМ ,"1 сентября! 
Студенты! 
Меньше слов, больше тусовок! 
Достаем студенческий! Он понадобится вам в четверг, чтоб тусить бесплатно всю ночь на главной вечеринке всех студентов Тамбова в клубе Атриум! 

АКЦИЯ НОЧИ! коктейль ВИСКИ-КОЛА всего 100 рублей! 

Лучшие сэты в исполнении лучших DJ: 
-------------- DJ Wolf ----------- 
------ DJ Max Kirsanov ---- 

GO-GO show KISS 
фотограф Андрей Бычков 

ВХОД 100р 
по студенческому билету БЕСПЛАТНО 

start 22.00 
FC DC 
18+ 

Тамбов, Бульвар энтузиастов 1Н 
8 902 7 30 40 00",./i6rn8ewtZf41.jpg,,,2016-08-30,19:17:07,,,,,,,,,,,,,0,1,1,0,1472562992,1472562992
4,1,Создадим первый во Владимире МЕГАколлаж вместе!,"Друзья, лето 2016 подходит к концу. Давайте проводим его нашими улыбками и счастливыми воспоминаниями о шопинге и других приятных мгновениях! 

ТК ""Мегаторг"" решил навсегда сохранить эти прекрасные моменты и создать первый во Владимире МЕГАколлаж! 

Фотографии принимаем по двум категориям: ""МЕГАулыбка"" и ""МЕГАшопинг"". 

Каждый участник, который пришлет свою работу, гарантированно впишет своё имя в историю нашего торгового комплекса и сможет найти свою фотографию на нашем коллаже! 

А двум счастливчикам, на которых 30 сентября укажет наша математическая формула, мы подарим сертификаты в магазины ""МЮЗ"" и ""Chester""!",./4hRo8yFm1oY1.jpg,,,2016-08-31,20:48:58,,,,,,,,,,,,,0,1,1,0,1472653363,1472653363
5,24,2 Сентября / Whiskey+Cola 150 / Black Discount Bar!,"Всем любителям Виски+Кола посвящается! 
2 Сентября / Whiskey+Cola 150 / Black Discount Bar!

Как вы уже могли догадаться из названия, в этот день виски+кола будет стоить 150 рублей. Отличный повод провести пятницу весело!

Dj Jess (Mash Up)

Вход: бесплатный.

Работаем с 18:00 до 07:00, dj start 22:00

Мы находимся: ул. Шеронова 3.

Информация и бронь столов: 65-65-10",./WzC83PfTDFk1.jpg,,,2016-09-02,21:00:51,,,,,,,,,,,,,0,1,1,0,1472653363,1472653363
6,18,Пенал-футляр из кожи,"1 сентября, в день Знаний мы проводим творческий мастер-класс ""Пенал-футляр из кожи"".
Возрастное ограничение 12+. 
Начало мастер-класса в 19-00. 
Записаться на мастер-класс можно здесь: https://vk.com/topic-126946146_34052175

Ждем вас по адресу: Коммунистическая , 2 
Тариф - 2руб./мин. 
Стоп-чек - 200 руб.",./SkVmprdRHPc1.jpg,,,2016-09-01,21:01:31,,,,,,,,,,,,,0,1,1,0,1472653363,1472653363
7,1,Дни открытых дверей в ONE2STEP! 3 и 4 сентября!! ,"3 и 4 СЕНТЯБРЯ! Дни открытых дверей в школе танцев и фитнеса ONE2STEP!

ТОЛЬКО В ЭТИ ДНИ:
Бесплатные занятия по всем танцевальным и фитнес направлениям для всех возрастов!
Распродажа абонементов до 25 СКИДКА!
Знакомство с лучшими тренерами Обнинска!
Знакомство с уникальной инфраструктурой школы танцев и фитнеса ONE2STEP!

ЗАПИСЬ ОБЯЗАТЕЛЬНА!
Записаться необходимо здесь: https://vk.com/topic-126705539_34499575

РАСПИСАНИЕ ОТКРЫТЫХ УРОКОВ можно посмотреть здесь: https://vk.com/topic-126705539_34499534

Адрес: Обнинск, пр. Ленина 187
Официальная группа в ВК: vk.com/one2stepdance
8 (910) 910-26-65",./J48-hl9RIgo1.jpg,,,2016-09-03,21:02:31,,,,,,,,,,,,,0,1,1,0,1472653363,1472653363
16,6,1 Сентября Школьная Дискотека в Черчилль-Холл 18,"1 Сентября 2016 // клуб Черчилль Холл // 18.00

Громкое открытие нашумевших вечеринок:
FASHION SCHOOL PARTY 

Мы открываем сверх модные, молодёжные 
и очень зажигательные школьные вечеринки
Кто помнит нашумевший молодёжный проект:
Fashion School Party ? 
которые мы устраивали в Небесах, солнце, Золотое Кольцо

Если тебе от 12 до 18 лет, то ждём тебя в этот четверг!
Обещаем зарядить вас только положительными эмоциями,
отличной музыкой, а также разыграть много фирменных призов
в программе: танцы, конкурсы и новые знакомства

Начинаем в 18.00 и до 21.00 
Вход: 150р, по флаеру 100р
#fashionschollparty",./sP-SOERqgOU1.jpg,,,2016-09-01,18:00:00,,,,,,,,,,,,,0,1,1,0,1472720840,1472720840
17,2,День НЕзнания in FLAT 1 и 2 сентября! ,"Ты школьник, студент, а может быть даже учитель? И потратил кучу усилий, чтобы знать? Мы дарим уникальную возможность - парочку дней перед пахотой разгрузиться как следует и не узнавать , утопиться в веселье, общении, танцах-плясках, порадовать себя всем, чем только придётся. 
На встречу ветру в голове, господа! 
День НЕзнаний во флету рад приветствовать любое безудержное веселье.
Ну и дамочек в костюмах школьниц соответственно!",./nV58-rnemJw1.jpg,,,2016-09-03,12:00:00,,,,,,,,,,,,,0,1,1,0,1472720840,1472720840
18,5,Вечеринка на даче у Романова,Описание,./wNKOvW46Lzg1.jpg,,,2016-09-08,00:00:00,,,,,,,,,,,,,0,1,1,0,1472720840,1472720840
19,4,3 сентября День Знаний в БЦ ПОЛЁТ! ,"Начало учебного года! День Знаний! 3 сентября, в субботу, приглашаем всех: и детей, и взрослых - отметить с нами этот волшебный праздник! В программе: анимация, аквагрим, шарики, вручение сертификата, научное шоу, фитнес мастер-класс! Скучно не будет никому!",./zgRVhM142TA1.jpg,,,2016-09-09,00:00:00,,,,,,,,,,,,,0,1,1,0,1472720840,1472720840
20,3,Питер to Псков SALSA BACHATA KIZOMBA weekend 3-4,"Что не знаете куда так быстро разбазарилось лето?? Тяните его за хвост и погнали с нами на самый отрывной танцевальный трип-уикенд 3-4 сентября "" Питер to Псков SALSA BACHATA KIZOMBA weekend"".

Что такое танцевальный трип-уикенд?
Это когда мы едем покорять очаровательный город и познаем его потрясающие места под ритмы танца!!! 


Берем с собой самое необходимое:
**Супер-классных инструкторов - 
Dayan Horta (Cuba, сальса, бачата, реггетон)
Rafael Dos Santos (Brasil, кизомба,семба, афрохаус)
Даниил Гайнов (Россия, сальса, бачата, кизомба,семба)
Яворская Светлана (Россия, реггетон,тверк)
Хван Ирина (Россия, сальса, бачата, кизомба)
**Классный друзей, с которыми весело в любых поездках
**Конечно туфельки))Всегда с собой
**И жгучие танцы в отдельный багаж )


В программе:
- 8 мастер-классов по сальсе, бачате, реггетону и конечно кизомбе
- 2 вечеринки
- шоу программа
- тревел по красивейшим местам Псковской губернии

Билеты подробнее
Инструкторы подробнее
Полезные обсуждения подробнее",./rXmzWtAZa4M1.jpg,,,2016-09-16,01:00:00,,,,,,,,,,,,,0,1,1,0,1472720840,1472720840
21,8,ТУСЕ OPEN 2016,"3 сентября 2016 года в Пскове на территории Псков Вэйк Парка пройдет фестиваль нескучных машин ТУСЕ OPEN 2016.

Начало программы - 13:00 

Вход свободный.

Для участия присылайте фото своих авто администратору.

#tyceopen #tyceopen2016",./Dt6AvB6uvYI1.jpg,,,2016-09-03,00:00:00,,,,,,,,,,,,,0,1,1,0,1472720840,1472720840
